,authorB,authorA,time
315,40.0,207.0,1110961640.0
316,0.0,207.0,1110961640.0
317,7.0,207.0,1110961640.0
318,77.0,40.0,1110970912.0
319,198.0,40.0,1110970912.0
320,40.0,77.0,1110970912.0
321,198.0,77.0,1110970912.0
322,40.0,198.0,1110970912.0
323,77.0,198.0,1110970912.0
324,198.0,40.0,1110978127.0
325,40.0,198.0,1110978127.0
326,77.0,40.0,1110976034.0
327,207.0,40.0,1110976034.0
328,40.0,77.0,1110976034.0
329,207.0,77.0,1110976034.0
330,40.0,207.0,1110976034.0
331,77.0,207.0,1110976034.0
332,444.0,231.0,1111076789.0
333,39.0,231.0,1111076789.0
334,231.0,444.0,1111076789.0
335,39.0,444.0,1111076789.0
336,231.0,39.0,1111076789.0
337,444.0,39.0,1111076789.0
338,231.0,546.0,1111157788.0
339,40.0,546.0,1111157788.0
340,9.0,546.0,1111157788.0
341,207.0,546.0,1111157788.0
342,541.0,546.0,1111157788.0
343,510.0,546.0,1111157788.0
344,546.0,231.0,1111157788.0
345,40.0,231.0,1111157788.0
346,9.0,231.0,1111157788.0
347,207.0,231.0,1111157788.0
348,541.0,231.0,1111157788.0
349,510.0,231.0,1111157788.0
350,546.0,40.0,1111157788.0
